"City","Price","timestamp"
Kitchener,596354,"2023-11-06 00:00:00"
Kitchener,587193,"2023-11-08 00:00:00"
Kitchener,572194,"2023-11-10 00:00:00"
Kitchener,568798,"2023-11-12 00:00:00"
Kitchener,560863,"2023-11-22 00:00:00"
Kitchener,551700,"2023-11-24 00:00:00"
Kitchener,548971,"2023-11-28 00:00:00"
Kitchener,547080,"2023-11-30 00:00:00"
Kitchener,536752,"2023-12-02 00:00:00"
Kitchener,548522,"2023-12-04 00:00:00"
Kitchener,535502,"2023-12-06 00:00:00"
Kitchener,519975,"2023-12-14 00:00:00"
Kitchener,491803,"2023-12-17 00:00:00"
Kitchener,488761,"2023-12-18 00:00:00"
Kitchener,481450,"2023-12-20 00:00:00"
Kitchener,470332,"2023-12-22 00:00:00"
Kitchener,452289,"2023-12-24 00:00:00"
Kitchener,459054,"2023-12-26 00:00:00"
Kitchener,422636,"2023-12-28 00:00:00"
Kitchener,437374,"2023-12-30 00:00:00"
Kitchener,431454,"2024-01-02 00:00:00"
Kitchener,439024,"2024-01-04 00:00:00"
Kitchener,439400,"2024-01-06 00:00:00"
Kitchener,421400,"2024-01-08 00:00:00"
Kitchener,429022,"2024-01-10 00:00:00"
Kitchener,427236,"2024-01-12 00:00:00"
Kitchener,413439,"2024-01-18 00:00:00"
Kitchener,410447,"2024-01-21 00:00:00"
Kitchener,417680,"2024-01-24 00:00:00"
Kitchener,437305,"2024-01-26 00:00:00"
Kitchener,430878,"2024-01-28 00:00:00"
Kitchener,432058,"2024-01-30 00:00:00"
Kitchener,452820,"2024-02-02 00:00:00"
Kitchener,446506,"2024-02-04 00:00:00"
Kitchener,445472,"2024-02-06 00:00:00"
Kitchener,442514,"2024-02-08 00:00:00"
Kitchener,439474,"2024-02-10 00:00:00"
Kitchener,455017,"2024-02-12 00:00:00"
Kitchener,437874,"2024-02-18 00:00:00"
Kitchener,440175,"2024-02-20 00:00:00"
Kitchener,445191,"2024-02-22 00:00:00"
Kitchener,446694,"2024-02-24 00:00:00"
Kitchener,449239,"2024-02-26 00:00:00"
Kitchener,451585,"2024-02-28 00:00:00"
Kitchener,459134,"2024-03-02 00:00:00"
Kitchener,455563,"2024-03-04 00:00:00"
Kitchener,455298,"2024-03-06 00:00:00"
Kitchener,462327,"2024-03-08 00:00:00"
Kitchener,464363,"2024-03-10 00:00:00"
Kitchener,466210,"2024-03-12 00:00:00"
Kitchener,471661,"2024-03-15 00:00:00"
Kitchener,481158,"2024-03-16 00:00:00"
Kitchener,479368,"2024-03-18 00:00:00"
Kitchener,445512,"2024-02-14 00:00:00"
Kitchener,448596,"2024-02-16 00:00:00"
Kitchener,549599,"2023-11-27 00:00:00"
Kitchener,419005,"2024-01-14 00:00:00"
Kitchener,416022,"2024-01-16 00:00:00"
Kitchener,487189,"2024-03-20 00:00:00"
Kitchener,519816,"2024-03-22 00:00:00"
Kitchener,491466,"2024-03-24 00:00:00"
Kitchener,523995,"2024-03-26 00:00:00"
Kitchener,509577,"2024-03-28 00:00:00"
Kitchener,504414,"2024-03-31 00:00:00"
Kitchener,516741,"2024-04-03 00:00:00"
Kitchener,527542,"2024-04-04 00:00:00"
